Iteration: χI = 3.0; χS = 1.2; χE = 0.8999999999999999; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059493944545547614
Iteration: χI = 3.0; χS = 1.2; χE = 0.8999999999999999; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 3.0045147604323255; χS = 1.1785837618474067; χE = 0.8316482119065023; λ = 1.1166744021101698; ν = 0.04956467052544332
; ζ = 0.3993714519868291; κ = 0.20977085946862373; sFromS = 0.12092998371224842; sFromE = 0.06562726851699838
Iteration: χI = 3.0044783732480997; χS = 1.1785837618474067; χE = 0.8316482119065023; λ = 1.1166744021101698; ν = 0.04956467052544332
; ζ = 0.3993714519868291; κ = 0.20977085946862373; sFromS = 0.12092998371224842; sFromE = 0.06562726851699838
Iteration: χI = 3.0044965668402126; χS = 1.178590898707695; χE = 0.8316532479143699; λ = 1.1166744021101698; ν = 0.04956467052544332
; ζ = 0.3993714519868291; κ = 0.20977085946862373; sFromS = 0.12092998371224842; sFromE = 0.06562726851699838
Iteration: χI = 3.0044965668402126; χS = 1.1785766249871183; χE = 0.8316431758986346; λ = 1.1166744021101698; ν = 0.04956467052544332
; ζ = 0.3993714519868291; κ = 0.20977085946862373; sFromS = 0.12092998371224842; sFromE = 0.06562726851699838
Iteration: χI = 3.0044965668402126; χS = 1.1785837618474067; χE = 0.8316553487667905; λ = 1.1166744021101698; ν = 0.04956467052544332
; ζ = 0.3993714519868291; κ = 0.20977085946862373; sFromS = 0.12092998371224842; sFromE = 0.06562726851699838
Iteration: χI = 3.0044965668402126; χS = 1.1785837618474067; χE = 0.831641075046214; λ = 1.1166744021101698; ν = 0.04956467052544332
; ζ = 0.3993714519868291; κ = 0.20977085946862373; sFromS = 0.12092998371224842; sFromE = 0.06562726851699838
Iteration: χI = 3.0044965668402126; χS = 1.1785837618474067; χE = 0.8316482119065023; λ = 1.1166811640811498; ν = 0.04956467052544332
; ζ = 0.3993714519868291; κ = 0.20977085946862373; sFromS = 0.12092998371224842; sFromE = 0.06562726851699838
Iteration: χI = 3.0044965668402126; χS = 1.1785837618474067; χE = 0.8316482119065023; λ = 1.1166676401391897; ν = 0.04956467052544332
; ζ = 0.3993714519868291; κ = 0.20977085946862373; sFromS = 0.12092998371224842; sFromE = 0.06562726851699838
Iteration: χI = 3.0044965668402126; χS = 1.1785837618474067; χE = 0.8316482119065023; λ = 1.1166744021101698; ν = 0.04957072597989571
; ζ = 0.3993714519868291; κ = 0.20977085946862373; sFromS = 0.12092998371224842; sFromE = 0.06562726851699838
Iteration: χI = 3.0044965668402126; χS = 1.1785837618474067; χE = 0.8316482119065023; λ = 1.1166744021101698; ν = 0.04955861507099093
; ζ = 0.3993714519868291; κ = 0.20977085946862373; sFromS = 0.12092998371224842; sFromE = 0.06562726851699838
Iteration: χI = 3.0044965668402126; χS = 1.1785837618474067; χE = 0.8316482119065023; λ = 1.1166744021101698; ν = 0.04956467052544332
; ζ = 0.3993775074412815; κ = 0.20977085946862373; sFromS = 0.12092998371224842; sFromE = 0.06562726851699838
Iteration: χI = 3.0044965668402126; χS = 1.1785837618474067; χE = 0.8316482119065023; λ = 1.1166744021101698; ν = 0.04956467052544332
; ζ = 0.39936539653237674; κ = 0.20977085946862373; sFromS = 0.12092998371224842; sFromE = 0.06562726851699838
Iteration: χI = 3.0044965668402126; χS = 1.1785837618474067; χE = 0.8316482119065023; λ = 1.1166744021101698; ν = 0.04956467052544332
; ζ = 0.3993714519868291; κ = 0.20977691492307612; sFromS = 0.12092998371224842; sFromE = 0.06562726851699838
Iteration: χI = 3.0044965668402126; χS = 1.1785837618474067; χE = 0.8316482119065023; λ = 1.1166744021101698; ν = 0.04956467052544332
; ζ = 0.3993714519868291; κ = 0.20976480401417133; sFromS = 0.12092998371224842; sFromE = 0.06562726851699838
Iteration: χI = 3.0044965668402126; χS = 1.1785837618474067; χE = 0.8316482119065023; λ = 1.1166744021101698; ν = 0.04956467052544332
; ζ = 0.3993714519868291; κ = 0.20977085946862373; sFromS = 0.12093603916670081; sFromE = 0.06562726851699838
Iteration: χI = 3.0044965668402126; χS = 1.1785837618474067; χE = 0.8316482119065023; λ = 1.1166744021101698; ν = 0.04956467052544332
; ζ = 0.3993714519868291; κ = 0.20977085946862373; sFromS = 0.12092392825779602; sFromE = 0.06562726851699838
Iteration: χI = 3.0044965668402126; χS = 1.1785837618474067; χE = 0.8316482119065023; λ = 1.1166744021101698; ν = 0.04956467052544332
; ζ = 0.3993714519868291; κ = 0.20977085946862373; sFromS = 0.12092998371224842; sFromE = 0.06563332397145077
Iteration: χI = 3.0044965668402126; χS = 1.1785837618474067; χE = 0.8316482119065023; λ = 1.1166744021101698; ν = 0.04956467052544332
; ζ = 0.3993714519868291; κ = 0.20977085946862373; sFromS = 0.12092998371224842; sFromE = 0.06562121306254598
Iteration: χI = 3.0044965668402126; χS = 1.1785837618474067; χE = 0.8316482119065023; λ = 1.1166744021101698; ν = 0.04956467052544332
; ζ = 0.3993714519868291; κ = 0.20977085946862373; sFromS = 0.12092998371224842; sFromE = 0.06562726851699838
Iteration: χI = 3.0007886812507247; χS = 1.1963302156977282; χE = 0.8881526478565707; λ = 1.0862843504167332; ν = 0.0495773732144418
; ζ = 0.39989229501392715; κ = 0.20167428782039937; sFromS = 0.1035864620633532; sFromE = 0.0605499394739296
Iteration: χI = 3.0007523391924313; χS = 1.1963302156977282; χE = 0.8881526478565707; λ = 1.0862843504167332; ν = 0.0495773732144418
; ζ = 0.39989229501392715; κ = 0.20167428782039937; sFromS = 0.1035864620633532; sFromE = 0.0605499394739296
Iteration: χI = 3.000770510221578; χS = 1.1963374600208594; χE = 0.8881580260244766; λ = 1.0862843504167332; ν = 0.0495773732144418
; ζ = 0.39989229501392715; κ = 0.20167428782039937; sFromS = 0.1035864620633532; sFromE = 0.0605499394739296
Iteration: χI = 3.000770510221578; χS = 1.196322971374597; χE = 0.8881472696886649; λ = 1.0862843504167332; ν = 0.0495773732144418
; ζ = 0.39989229501392715; κ = 0.20167428782039937; sFromS = 0.1035864620633532; sFromE = 0.0605499394739296
Iteration: χI = 3.000770510221578; χS = 1.1963302156977282; χE = 0.8881598921797019; λ = 1.0862843504167332; ν = 0.0495773732144418
; ζ = 0.39989229501392715; κ = 0.20167428782039937; sFromS = 0.1035864620633532; sFromE = 0.0605499394739296
Iteration: χI = 3.000770510221578; χS = 1.1963302156977282; χE = 0.8881454035334395; λ = 1.0862843504167332; ν = 0.0495773732144418
; ζ = 0.39989229501392715; κ = 0.20167428782039937; sFromS = 0.1035864620633532; sFromE = 0.0605499394739296
Iteration: χI = 3.000770510221578; χS = 1.1963302156977282; χE = 0.8881526478565707; λ = 1.0862909283621396; ν = 0.0495773732144418
; ζ = 0.39989229501392715; κ = 0.20167428782039937; sFromS = 0.1035864620633532; sFromE = 0.0605499394739296
Iteration: χI = 3.000770510221578; χS = 1.1963302156977282; χE = 0.8881526478565707; λ = 1.0862777724713268; ν = 0.0495773732144418
; ζ = 0.39989229501392715; κ = 0.20167428782039937; sFromS = 0.1035864620633532; sFromE = 0.0605499394739296
Iteration: χI = 3.000770510221578; χS = 1.1963302156977282; χE = 0.8881526478565707; λ = 1.0862843504167332; ν = 0.04958342866889419
; ζ = 0.39989229501392715; κ = 0.20167428782039937; sFromS = 0.1035864620633532; sFromE = 0.0605499394739296
Iteration: χI = 3.000770510221578; χS = 1.1963302156977282; χE = 0.8881526478565707; λ = 1.0862843504167332; ν = 0.04957131775998941
; ζ = 0.39989229501392715; κ = 0.20167428782039937; sFromS = 0.1035864620633532; sFromE = 0.0605499394739296
Iteration: χI = 3.000770510221578; χS = 1.1963302156977282; χE = 0.8881526478565707; λ = 1.0862843504167332; ν = 0.0495773732144418
; ζ = 0.3998983504683795; κ = 0.20167428782039937; sFromS = 0.1035864620633532; sFromE = 0.0605499394739296
Iteration: χI = 3.000770510221578; χS = 1.1963302156977282; χE = 0.8881526478565707; λ = 1.0862843504167332; ν = 0.0495773732144418
; ζ = 0.3998862395594748; κ = 0.20167428782039937; sFromS = 0.1035864620633532; sFromE = 0.0605499394739296
Iteration: χI = 3.000770510221578; χS = 1.1963302156977282; χE = 0.8881526478565707; λ = 1.0862843504167332; ν = 0.0495773732144418
; ζ = 0.39989229501392715; κ = 0.20168034327485176; sFromS = 0.1035864620633532; sFromE = 0.0605499394739296
Iteration: χI = 3.000770510221578; χS = 1.1963302156977282; χE = 0.8881526478565707; λ = 1.0862843504167332; ν = 0.0495773732144418
; ζ = 0.39989229501392715; κ = 0.20166823236594697; sFromS = 0.1035864620633532; sFromE = 0.0605499394739296
Iteration: χI = 3.000770510221578; χS = 1.1963302156977282; χE = 0.8881526478565707; λ = 1.0862843504167332; ν = 0.0495773732144418
; ζ = 0.39989229501392715; κ = 0.20167428782039937; sFromS = 0.1035925175178056; sFromE = 0.0605499394739296
Iteration: χI = 3.000770510221578; χS = 1.1963302156977282; χE = 0.8881526478565707; λ = 1.0862843504167332; ν = 0.0495773732144418
; ζ = 0.39989229501392715; κ = 0.20167428782039937; sFromS = 0.1035804066089008; sFromE = 0.0605499394739296
Iteration: χI = 3.000770510221578; χS = 1.1963302156977282; χE = 0.8881526478565707; λ = 1.0862843504167332; ν = 0.0495773732144418
; ζ = 0.39989229501392715; κ = 0.20167428782039937; sFromS = 0.1035864620633532; sFromE = 0.06055599492838199
Iteration: χI = 3.000770510221578; χS = 1.1963302156977282; χE = 0.8881526478565707; λ = 1.0862843504167332; ν = 0.0495773732144418
; ζ = 0.39989229501392715; κ = 0.20167428782039937; sFromS = 0.1035864620633532; sFromE = 0.06054388401947721
Iteration: χI = 3.000770510221578; χS = 1.1963302156977282; χE = 0.8881526478565707; λ = 1.0862843504167332; ν = 0.0495773732144418
; ζ = 0.39989229501392715; κ = 0.20167428782039937; sFromS = 0.1035864620633532; sFromE = 0.0605499394739296
Iteration: χI = 3.0026517208415253; χS = 1.1874569887725674; χE = 0.8597373220048364; λ = 1.1014793762634514; ν = 0.049571021869942555
; ζ = 0.39963187350037815; κ = 0.20572257364451155; sFromS = 0.11225822288780081; sFromE = 0.063088603995464
